company_id,year,peer_group_name,is_benchmark,broad_sector,sub_sector,market_cap_category,index_weight_pct,peer_source,analysis_group,peer_group_size,peer_composite_score,peer_overall_rank,peer_overall_percentile,peer_position,metrics_available_for_score,id,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_capital_employed_pct,return_on_assets_pct,debt_to_equity,high_leverage_flag,interest_coverage,icr_label,icr_warning_flag,net_debt,asset_turnover,free_cash_flow_cr,cash_from_operations_cr,cfo_pat_ratio,cfo_quality_label,capex_cr,capex_intensity_pct,capex_intensity_label,fcf_conversion_rate_pct,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_3yr,revenue_cagr_3yr_flag,revenue_cagr_5yr,revenue_cagr_5yr_flag,revenue_cagr_10yr,revenue_cagr_10yr_flag,pat_cagr_3yr,pat_cagr_3yr_flag,pat_cagr_5yr,pat_cagr_5yr_flag,pat_cagr_10yr,pat_cagr_10yr_flag,eps_cagr_3yr,eps_cagr_3yr_flag,eps_cagr_5yr,eps_cagr_5yr_flag,eps_cagr_10yr,eps_cagr_10yr_flag,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern,composite_quality_score,net_profit_margin_pct_peer_percentile,net_profit_margin_pct_peer_rank,operating_profit_margin_pct_peer_percentile,operating_profit_margin_pct_peer_rank,return_on_equity_pct_peer_percentile,return_on_equity_pct_peer_rank,return_on_capital_employed_pct_peer_percentile,return_on_capital_employed_pct_peer_rank,return_on_assets_pct_peer_percentile,return_on_assets_pct_peer_rank,interest_coverage_peer_percentile,interest_coverage_peer_rank,asset_turnover_peer_percentile,asset_turnover_peer_rank,cfo_pat_ratio_peer_percentile,cfo_pat_ratio_peer_rank,fcf_conversion_rate_pct_peer_percentile,fcf_conversion_rate_pct_peer_rank,revenue_cagr_3yr_peer_percentile,revenue_cagr_3yr_peer_rank,revenue_cagr_5yr_peer_percentile,revenue_cagr_5yr_peer_rank,pat_cagr_3yr_peer_percentile,pat_cagr_3yr_peer_rank,pat_cagr_5yr_peer_percentile,pat_cagr_5yr_peer_rank,composite_quality_score_peer_percentile,composite_quality_score_peer_rank,debt_to_equity_peer_percentile,debt_to_equity_peer_rank
BHARTIARTL,2024,,,Communication Services,Telecommunications,Large Cap,1.13,Broad Sector Fallback,Broad Sector: Communication Services,2,78.57,1.0,100.0,Peer Leader,14,3423,5.706,52.2009,9.8257,23.9458,1.8565,2.5895,0,3.3055,,0,191103.0,0.3254,27809.0,78898.0,9.2192,High Quality,51089.0,34.0634,Capital Intensive,35.5196,,153.0,,225541.0,14.2328,,13.1741,,5.736,,,TURNAROUND,38.3566,,10.9816,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,57.14,50.0,2.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,50.0,2.0,100.0,1.0,100.0,1.0,100.0,1.0,50.0,2.0,50.0,2.0,,2.0,100.0,1.0,50.0,2.0,50.0,2.0
NAUKRI,2024,,,Communication Services,Internet & Platforms,Large Cap,4.44,Broad Sector Fallback,Broad Sector: Communication Services,2,73.33,2.0,50.0,Average,15,3980,23.4621,28.0363,1.4239,2.4118,1.1856,0.0061,0,28.9714,,0,-45064.0,0.0505,-150.0,702.0,1.1798,High Quality,852.0,33.5962,Capital Intensive,-21.097,,3225.0,,256.0,31.0026,,17.1156,,16.16,,-25.1348,,0.1011,,25.7872,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,+,Shareholder Returns,85.71,100.0,1.0,50.0,2.0,50.0,2.0,50.0,2.0,50.0,2.0,100.0,1.0,50.0,2.0,50.0,2.0,50.0,2.0,100.0,1.0,100.0,1.0,100.0,1.0,50.0,2.0,100.0,1.0,100.0,1.0
INDIGO,2024,,,Consumer Discretionary,Airlines,Large Cap,3.03,Broad Sector Fallback,Broad Sector: Consumer Discretionary,3,83.33,1.0,100.0,Peer Leader,14,3770,11.8527,76.2989,856.978,5405.6526,659.1606,0.021,0,22.6126,,0,-158.0,55.6126,9424.0,21183.0,2.5937,High Quality,11759.0,17.0658,Capital Intensive,17.9256,,97.0,,20.0,67.5809,,19.3134,,20.0123,,,TURNAROUND,120.6925,,32.9317,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,96.43,66.66666666666666,2.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,66.66666666666666,2.0,100.0,1.0,100.0,1.0,33.33333333333333,3.0,66.66666666666666,2.0,66.66666666666666,2.0,,3.0,100.0,1.0,100.0,1.0,66.66666666666666,2.0
IRCTC,2024,,,Consumer Discretionary,Travel & Tourism,Mid Cap,3.97,Broad Sector Fallback,Broad Sector: Consumer Discretionary,3,73.33,2.0,66.67,Above Average,15,3816,26.0187,34.3326,31.5356,44.0954,16.3382,0.0119,0,82.7368,,0,27.0,0.6279,667.0,882.0,0.7939,Moderate,215.0,5.0351,Moderate,45.498,,44.0,,42.0,76.4692,,17.9552,,,INSUFFICIENT_DATA,81.1163,,29.1669,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,94.29,100.0,1.0,66.66666666666666,2.0,33.33333333333333,3.0,66.66666666666666,2.0,66.66666666666666,2.0,100.0,1.0,33.33333333333333,3.0,66.66666666666666,2.0,100.0,1.0,100.0,1.0,33.33333333333333,3.0,100.0,1.0,66.66666666666666,2.0,66.66666666666666,2.0,100.0,1.0
TITAN,2024,,,Consumer Discretionary,Gems & Jewellery,Large Cap,2.38,Broad Sector Fallback,Broad Sector: Consumer Discretionary,3,45.56,3.0,33.33,Below Average,15,4256,6.8436,10.3594,35.908,18.5636,9.0043,2.2235,0,9.412,,0,19113.0,1.3157,1506.0,1695.0,0.4848,Accrual Risk,189.0,0.37,Asset Light,28.458,,110.0,,21648.0,33.1422,,20.8972,,16.6752,,53.1102,,20.2746,,16.8768,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,63.57,33.33333333333333,3.0,33.33333333333333,3.0,66.66666666666666,2.0,33.33333333333333,3.0,33.33333333333333,3.0,33.33333333333333,3.0,66.66666666666666,2.0,33.33333333333333,3.0,66.66666666666666,2.0,33.33333333333333,3.0,100.0,1.0,50.0,2.0,33.33333333333333,3.0,33.33333333333333,3.0,33.33333333333333,3.0
BAJAJHLDNG,2024,,,Financials,Holding Companies,Large Cap,3.36,Broad Sector Fallback,Broad Sector: Financials,2,83.33,1.0,100.0,Peer Leader,15,3377,432.7262,91.7744,12.3113,12.5756,10.154,0.0008,0,3764.5,,0,-71205.0,0.0235,1469.0,1941.0,0.2635,Accrual Risk,472.0,27.7321,Capital Intensive,94.0461,,5375.0,,47.0,55.0057,,31.6123,,14.9375,,26.3188,,19.2976,,13.9923,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,81.43,100.0,1.0,100.0,1.0,50.0,2.0,50.0,2.0,100.0,1.0,100.0,1.0,50.0,2.0,50.0,2.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,50.0,2.0
ICICIGI,2024,,,Financials,General Insurance,Large Cap,3.51,Broad Sector Fallback,Broad Sector: Financials,2,66.67,2.0,50.0,Average,15,3746,9.3669,87.4213,14.0844,131.545,2.8215,0.0,0,160.0268,,0,-51557.0,0.3012,486.0,2407.0,1.2543,High Quality,1921.0,9.3767,Capital Intensive,2.7136,,275.0,,0.0,18.988,,12.9118,,16.7559,,9.2171,,12.8392,,13.9481,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,75.0,50.0,2.0,50.0,2.0,100.0,1.0,100.0,1.0,50.0,2.0,50.0,2.0,100.0,1.0,100.0,1.0,50.0,2.0,50.0,2.0,50.0,2.0,50.0,2.0,50.0,2.0,50.0,2.0,100.0,1.0
APOLLOHOSP,2024,,,Healthcare,Healthcare,Large Cap,0.62,Broad Sector Fallback,Broad Sector: Healthcare,1,100.0,1.0,100.0,Peer Leader,15,3310,4.9058,12.561,12.465,16.8034,4.7831,0.9827,0,5.5657,,0,6359.0,0.975,383.0,1920.0,2.0535,High Quality,1537.0,8.0644,Capital Intensive,15.9983,,522.0,,7371.0,21.7527,,14.66,,15.9021,,89.6838,,36.1308,,11.4936,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,71.43,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0,100.0,1.0
BEL,2024,,,Industrials,Defence Electronics,Large Cap,3.65,Broad Sector Fallback,Broad Sector: Industrials,6,71.67,1.0,91.67,Peer Leader,15,3411,19.6615,24.9211,4379.1209,3385.2071,1771.1111,0.8571,0,476.75,,0,77.0,90.08,-1265.0,4659.0,1.1691,High Quality,5924.0,29.2283,Capital Intensive,-25.0445,,24.0,,78.0,12.8335,,10.7508,,12.0133,,23.8045,,16.1265,,15.3929,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,89.29,66.66666666666666,3.0,66.66666666666666,3.0,100.0,1.0,83.33333333333334,2.0,100.0,1.0,100.0,1.0,100.0,1.0,50.0,4.0,33.33333333333333,5.0,33.33333333333333,5.0,50.0,4.0,83.33333333333334,2.0,66.66666666666666,3.0,91.66666666666666,1.0,50.0,4.0
HAL,2024,,,Industrials,Defence & Aerospace,Large Cap,1.6,Broad Sector Fallback,Broad Sector: Industrials,6,71.67,1.0,91.67,Peer Leader,15,3639,24.9992,32.0891,3669.0821,3519.0332,1595.5882,0.599,0,270.8837,,0,76.0,63.8256,1814.0,8226.0,1.0831,High Quality,6412.0,21.1053,Capital Intensive,18.607,,465.0,,124.0,9.9097,,8.7125,,7.2166,,32.8533,,26.4853,,10.9249,,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,,INSUFFICIENT_DATA,+,-,-,Reinvestor,89.29,83.33333333333334,2.0,83.33333333333334,2.0,83.33333333333334,2.0,100.0,1.0,83.33333333333334,2.0,83.33333333333334,2.0,83.33333333333334,2.0,33.33333333333333,5.0,66.66666666666666,3.0,16.666666666666664,6.0,16.666666666666664,6.0,100.0,1.0,83.33333333333334,2.0,91.66666666666666,1.0,66.66666666666666,3.0
