SPRINT 2 - RATIO EDGE CASE LOG
======================================================================
ABB | 2012 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=36.3215, difference=9.6785
ABB | 2012 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=22.4111, difference=12.4889
ABB | 2014 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=40.1015, difference=5.8985
ABB | 2014 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=25.1269, difference=9.7731
ABB | 2015 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=38.4205, difference=7.5795
ABB | 2015 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=24.4397, difference=10.4603
ABB | 2016 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=34.7280, difference=11.2720
ABB | 2016 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=21.3389, difference=13.5611
ABB | 2017 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=32.8046, difference=13.1954
ABB | 2017 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=19.9712, difference=14.9288
ABB | 2018 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=37.9209, difference=8.0791
ABB | 2018 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=23.6858, difference=11.2142
ABB | 2019 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=35.7570, difference=10.2430
ABB | 2019 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=22.4104, difference=12.4896
ABB | 2020 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=33.4229, difference=12.5771
ABB | 2020 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=24.3933, difference=10.5067
ABB | 2021 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=36.4065, difference=9.5935
ABB | 2021 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=26.5565, difference=8.3435
ABB | 2022 | VERSION_DIFFERENCE | ROCE source=46.0000, calculated=39.1992, difference=6.8008
ABB | 2022 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=28.3333, difference=6.5667
ABB | 2023 | VERSION_DIFFERENCE | ROE source=34.9000, calculated=29.7679, difference=5.1321
ADANIENSOL | 2014 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=0.0000, difference=9.0000
ADANIENSOL | 2014 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=0.0000, difference=8.5900
ADANIENSOL | 2015 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=0.9644, difference=8.0356
ADANIENSOL | 2015 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=-0.6464, difference=9.2364
ADANIENSOL | 2016 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=17.7401, difference=8.7401
ADANIENSOL | 2016 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=13.7725, difference=5.1825
ADANIENSOL | 2017 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=16.8176, difference=7.8176
ADANIENSOL | 2017 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=14.1161, difference=5.5261
ADANIENSOL | 2018 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=17.8162, difference=8.8162
ADANIENSOL | 2018 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=18.8707, difference=10.2807
ADANIENSOL | 2021 | VERSION_DIFFERENCE | ROCE source=9.0000, calculated=14.0640, difference=5.0640
ADANIENSOL | 2021 | VERSION_DIFFERENCE | ROE source=8.5900, calculated=14.4635, difference=5.8735
ADANIENT | 2013 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=5.6927, difference=7.9473
ADANIENT | 2016 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=7.4750, difference=6.1650
ADANIENT | 2017 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=6.5436, difference=7.0964
ADANIENT | 2018 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=3.9366, difference=9.7034
ADANIENT | 2019 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=3.4291, difference=10.2109
ADANIENT | 2020 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=6.1368, difference=7.5032
ADANIENT | 2021 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=6.0959, difference=7.5441
ADANIENT | 2022 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=3.5405, difference=10.0995
ADANIENT | 2023 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=7.3281, difference=6.3119
ADANIENT | 2024 | VERSION_DIFFERENCE | ROE source=13.6400, calculated=7.9602, difference=5.6798
ADANIGREEN | 2017 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=8.7027, difference=87.7973
ADANIGREEN | 2017 | VERSION_DIFFERENCE | ROE source=14.7000, calculated=-3.9069, difference=18.6069
ADANIGREEN | 2018 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=7.8983, difference=88.6017
ADANIGREEN | 2018 | VERSION_DIFFERENCE | ROE source=14.7000, calculated=-10.2908, difference=24.9908
ADANIGREEN | 2019 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=12.2294, difference=84.2706
ADANIGREEN | 2019 | VERSION_DIFFERENCE | ROE source=14.7000, calculated=-24.5732, difference=39.2732
ADANIGREEN | 2020 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=7.7745, difference=88.7255
ADANIGREEN | 2020 | VERSION_DIFFERENCE | ROE source=14.7000, calculated=-2.8850, difference=17.5850
ADANIGREEN | 2021 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=9.9663, difference=86.5337
ADANIGREEN | 2021 | VERSION_DIFFERENCE | ROE source=14.7000, calculated=8.2727, difference=6.4273
ADANIGREEN | 2022 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=7.2485, difference=89.2515
ADANIGREEN | 2023 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=9.1618, difference=87.3382
ADANIGREEN | 2024 | VERSION_DIFFERENCE | ROCE source=96.5000, calculated=10.9992, difference=85.5008
ADANIPORTS | 2013 | VERSION_DIFFERENCE | ROE source=18.1000, calculated=25.6334, difference=7.5334
ADANIPORTS | 2018 | VERSION_DIFFERENCE | ROCE source=12.9000, calculated=18.4896, difference=5.5896
ADANIPORTS | 2022 | VERSION_DIFFERENCE | ROE source=18.1000, calculated=11.8433, difference=6.2567
ADANIPORTS | 2023 | VERSION_DIFFERENCE | ROE source=18.1000, calculated=11.8773, difference=6.2227
ADANIPOWER | 2013 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=2.5495, difference=29.6505
ADANIPOWER | 2013 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-53.4591, difference=110.5591
ADANIPOWER | 2014 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=9.3307, difference=22.8693
ADANIPOWER | 2014 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-4.4475, difference=61.5475
ADANIPOWER | 2015 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=11.6234, difference=20.5766
ADANIPOWER | 2015 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-14.2533, difference=71.3533
ADANIPOWER | 2016 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=14.2881, difference=17.9119
ADANIPOWER | 2016 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=7.3781, difference=49.7219
ADANIPOWER | 2017 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=4.1706, difference=28.0294
ADANIPOWER | 2017 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-205.8000, difference=262.9000
ADANIPOWER | 2018 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=11.5219, difference=20.6781
ADANIPOWER | 2018 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-236.5579, difference=293.6579
ADANIPOWER | 2019 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=13.5870, difference=18.6130
ADANIPOWER | 2019 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-12.7593, difference=69.8593
ADANIPOWER | 2020 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=9.8200, difference=22.3800
ADANIPOWER | 2020 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=-35.1026, difference=92.2026
ADANIPOWER | 2021 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=16.1461, difference=16.0539
ADANIPOWER | 2021 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=9.6850, difference=47.4150
ADANIPOWER | 2022 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=20.3973, difference=11.8027
ADANIPOWER | 2022 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=26.6132, difference=30.4868
ADANIPOWER | 2023 | VERSION_DIFFERENCE | ROCE source=32.2000, calculated=19.8156, difference=12.3844
ADANIPOWER | 2023 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=35.9051, difference=21.1949
ADANIPOWER | 2024 | VERSION_DIFFERENCE | ROE source=57.1000, calculated=37.2252, difference=19.8748
AMBUJACEM | 2012 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=28.7005, difference=15.9005
AMBUJACEM | 2012 | VERSION_DIFFERENCE | ROE source=9.2400, calculated=14.6868, difference=5.4468
AMBUJACEM | 2013 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=21.6509, difference=8.8509
AMBUJACEM | 2014 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=23.2878, difference=10.4878
AMBUJACEM | 2014 | VERSION_DIFFERENCE | ROE source=9.2400, calculated=14.7666, difference=5.5266
AMBUJACEM | 2015 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=18.3873, difference=5.5873
AMBUJACEM | 2016 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=18.2469, difference=5.4469
AMBUJACEM | 2017 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=20.2600, difference=7.4600
AMBUJACEM | 2018 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=18.9335, difference=6.1335
AMBUJACEM | 2019 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=21.5515, difference=8.7515
AMBUJACEM | 2020 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=22.7915, difference=9.9915
AMBUJACEM | 2021 | VERSION_DIFFERENCE | ROCE source=12.8000, calculated=25.0165, difference=12.2165
AMBUJACEM | 2021 | VERSION_DIFFERENCE | ROE source=9.2400, calculated=14.6367, difference=5.3967
APOLLOHOSP | 2016 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=7.0528, difference=6.7572
APOLLOHOSP | 2017 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=3.9529, difference=9.8571
APOLLOHOSP | 2018 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=1.8450, difference=11.9650
APOLLOHOSP | 2019 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=5.9988, difference=7.8112
APOLLOHOSP | 2020 | VERSION_DIFFERENCE | ROCE source=17.2000, calculated=26.1390, difference=8.9390
APOLLOHOSP | 2021 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=2.9763, difference=10.8337
APOLLOHOSP | 2022 | VERSION_DIFFERENCE | ROCE source=17.2000, calculated=26.3853, difference=9.1853
APOLLOHOSP | 2022 | VERSION_DIFFERENCE | ROE source=13.8100, calculated=19.7048, difference=5.8948
ASIANPAINT | 2013 | VERSION_DIFFERENCE | ROCE source=41.7500, calculated=50.9216, difference=9.1716
ASIANPAINT | 2014 | VERSION_DIFFERENCE | ROCE source=41.7500, calculated=49.6269, difference=7.8769
ASIANPAINT | 2018 | VERSION_DIFFERENCE | ROE source=31.4500, calculated=24.9465, difference=6.5035
ASIANPAINT | 2019 | VERSION_DIFFERENCE | ROE source=31.4500, calculated=23.3133, difference=8.1367
ASIANPAINT | 2021 | VERSION_DIFFERENCE | ROE source=31.4500, calculated=25.0429, difference=6.4071
ASIANPAINT | 2022 | VERSION_DIFFERENCE | ROCE source=41.7500, calculated=33.1190, difference=8.6310
ASIANPAINT | 2022 | VERSION_DIFFERENCE | ROE source=31.4500, calculated=22.3357, difference=9.1143
ASIANPAINT | 2023 | VERSION_DIFFERENCE | ROE source=31.4500, calculated=26.2319, difference=5.2181
ATGL | 2019 | VERSION_DIFFERENCE | ROCE source=21.2000, calculated=34.3583, difference=13.1583
ATGL | 2020 | VERSION_DIFFERENCE | ROCE source=21.2000, calculated=33.6493, difference=12.4493
ATGL | 2020 | VERSION_DIFFERENCE | ROE source=20.5000, calculated=29.6397, difference=9.1397
ATGL | 2021 | VERSION_DIFFERENCE | ROCE source=21.2000, calculated=29.8011, difference=8.6011
AXISBANK | 2017 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=6.5254, difference=11.8746
AXISBANK | 2018 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=0.4299, difference=17.9701
AXISBANK | 2019 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=6.8980, difference=11.5020
AXISBANK | 2020 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=1.8844, difference=16.5156
AXISBANK | 2021 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=6.3594, difference=12.0406
AXISBANK | 2022 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=11.0138, difference=7.3862
AXISBANK | 2023 | VERSION_DIFFERENCE | ROE source=18.4000, calculated=7.3817, difference=11.0183
BAJAJ-AUTO | 2013 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=54.3454, difference=20.8454
BAJAJ-AUTO | 2013 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=38.8469, difference=12.3469
BAJAJ-AUTO | 2014 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=47.3010, difference=13.8010
BAJAJ-AUTO | 2014 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=33.2448, difference=6.7448
BAJAJ-AUTO | 2015 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=38.8686, difference=5.3686
BAJAJ-AUTO | 2016 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=42.3469, difference=8.8469
BAJAJ-AUTO | 2018 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=20.6561, difference=5.8439
BAJAJ-AUTO | 2019 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=21.2112, difference=5.2888
BAJAJ-AUTO | 2021 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=23.7570, difference=9.7430
BAJAJ-AUTO | 2021 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=17.8088, difference=8.6912
BAJAJ-AUTO | 2022 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=26.4492, difference=7.0508
BAJAJ-AUTO | 2022 | VERSION_DIFFERENCE | ROE source=26.5000, calculated=20.6504, difference=5.8496
BAJAJ-AUTO | 2023 | VERSION_DIFFERENCE | ROCE source=33.5000, calculated=27.7013, difference=5.7987
